iter	Passed	Remaining
0	60	59998
1	60	30180
2	60	20228
3	61	15245
4	61	12253
5	61	10262
6	62	8839
7	62	7771
8	63	6939
9	63	6275
10	63	5729
11	64	5279
12	64	4894
13	64	4563
14	65	4275
15	65	4027
16	65	3805
17	66	3608
18	66	3431
19	66	3273
20	67	3128
21	67	2997
22	67	2877
23	68	2767
24	68	2669
25	68	2578
26	69	2492
27	69	2412
28	69	2337
29	70	2269
30	70	2204
31	70	2142
32	71	2084
33	71	2029
34	71	1978
35	72	1929
36	72	1884
37	72	1842
38	73	1802
39	73	1763
40	73	1726
41	74	1691
42	74	1658
43	74	1625
44	75	1594
45	75	1566
46	75	1540
47	76	1513
48	76	1488
49	77	1463
50	77	1440
51	77	1416
52	78	1394
53	78	1372
54	78	1352
55	79	1333
56	79	1314
57	79	1295
58	80	1277
59	80	1259
60	80	1242
61	81	1226
62	81	1210
63	81	1195
64	82	1180
65	82	1166
66	82	1152
67	83	1139
68	83	1127
69	83	1114
70	84	1101
71	84	1089
72	84	1078
73	85	1066
74	85	1055
75	85	1044
76	86	1033
77	86	1023
78	86	1012
79	87	1002
80	87	992
81	87	983
82	87	971
83	88	962
84	88	953
85	88	945
86	89	936
87	89	928
88	89	921
89	90	914
90	90	907
91	91	900
92	91	894
93	92	887
94	92	881
95	92	874
96	93	867
97	93	860
98	93	854
99	94	848
100	94	842
101	94	836
102	95	830
103	95	824
104	96	818
105	96	812
106	96	807
107	97	802
108	97	796
109	97	792
110	98	787
111	98	783
112	99	778
113	99	773
114	99	769
115	100	764
116	100	758
117	100	753
118	101	749
119	101	744
120	101	740
121	102	735
122	102	730
123	102	726
124	103	722
125	103	718
126	103	713
127	104	709
128	104	706
129	104	702
130	105	698
131	105	694
132	105	690
133	106	687
134	106	684
135	107	681
136	107	678
137	108	675
138	108	672
139	108	669
140	109	665
141	109	661
142	109	658
143	110	655
144	110	652
145	110	649
146	111	645
147	111	642
148	111	639
149	112	636
150	112	633
151	112	630
152	113	627
153	113	624
154	114	621
155	114	618
156	114	615
157	115	613
158	115	610
159	115	607
160	115	603
161	116	601
162	116	598
163	116	596
164	117	593
165	117	591
166	118	588
167	118	585
168	118	583
169	118	580
170	119	578
171	119	575
172	119	573
173	120	570
174	120	568
175	120	566
176	121	563
177	121	561
178	121	559
179	122	557
180	122	555
181	123	553
182	123	550
183	123	548
184	124	546
185	124	544
186	124	542
187	124	539
188	125	537
189	125	535
190	125	533
191	126	531
192	126	529
193	126	527
194	127	525
195	127	523
196	127	521
197	128	519
198	128	517
199	129	516
200	129	514
201	129	513
202	130	511
203	130	509
204	130	507
205	131	506
206	131	504
207	132	503
208	132	501
209	132	499
210	133	497
211	133	496
212	133	494
213	134	492
214	134	490
215	134	489
216	135	487
217	135	485
218	135	484
219	136	483
220	136	481
221	137	480
222	137	478
223	137	477
224	138	475
225	138	474
226	138	472
227	139	471
228	139	469
229	139	468
230	140	467
231	140	465
232	141	464
233	141	462
234	141	461
235	141	459
236	142	458
237	142	456
238	142	455
239	143	453
240	143	452
241	144	451
242	144	449
243	144	448
244	145	446
245	145	445
246	145	444
247	146	442
248	146	441
249	146	440
250	147	438
251	147	437
252	147	436
253	148	434
254	148	433
255	148	432
256	149	431
257	149	429
258	149	428
259	150	427
260	150	426
261	150	424
262	151	423
263	151	422
264	151	421
265	152	420
266	152	418
267	153	417
268	153	416
269	153	415
270	154	414
271	154	413
272	154	412
273	155	410
274	155	409
275	155	408
276	156	407
277	156	406
278	156	404
279	157	403
280	157	402
281	157	401
282	158	400
283	158	399
284	158	398
285	159	397
286	159	396
287	159	395
288	160	394
289	160	393
290	160	392
291	161	391
292	161	390
293	162	389
294	162	388
295	162	387
296	163	386
297	163	385
298	163	384
299	164	383
300	164	382
301	164	380
302	165	379
303	165	378
304	165	378
305	166	377
306	166	376
307	166	375
308	167	374
309	167	373
310	167	372
311	168	370
312	168	369
313	168	369
314	169	368
315	169	367
316	170	366
317	170	365
318	170	364
319	171	363
320	171	362
321	171	361
322	172	360
323	172	359
324	172	358
325	173	358
326	173	357
327	173	356
328	174	355
329	174	354
330	174	353
331	175	352
332	175	351
333	175	350
334	176	349
